出版社	城市	类型	出版社编号（ISBN）	备注
人民出版社	北京市	中国共产党理论出版社	01	
人民文学出版社	北京市	文艺（文学）出版社	02	
科学出版社	北京市	科技出版社	03	
高等教育出版社	北京市	教育出版社	04	
商务印书馆	北京市	辞书出版社	100	
中华书局	北京市		101	
人民美术出版社	北京市	美术出版社	102	
人民音乐出版社	北京市	音乐出版社	103	
中国戏剧出版社	北京市		104	
民族出版社	北京市		105	
中国电影出版社	北京市	专业出版社（电影）	106	
人民教育出版社	北京市	教育出版社	107	
生活·读书·新知三联书店	北京市		108	
中国农业出版社	北京市		109	
科学普及出版社	北京市	科技出版社	110	
机械工业出版社	北京市		111	
中国建筑工业出版社	北京市		112	
中国铁道出版社	北京市		113	
人民交通出版社	北京市		114	
人民邮电出版社	北京市	科技出版社	115	
地质出版社	北京市		116	
人民卫生出版社	北京市	医学出版社	117	
国防工业出版社	北京市	军事出版社／科技出版社	118	
外文出版社	北京市	外语出版社	119	
水利电力出版社	北京市		120	
电子工业出版社	北京市	科技出版社	121	曾用出版社编号5053
化学工业出版社	北京市	科技出版社	122	曾用出版社编号5025
北京出版社	北京市	各地人民出版社	200	
天津人民出版社	天津市	各地人民出版社	201	
河北人民出版社	石家庄市	各地人民出版社	202	
山西人民出版社	太原市	各地人民出版社	203	
内蒙古人民出版社	呼和浩特市	各地人民出版社	204	
辽宁人民出版社	沈阳市	各地人民出版社	205	
吉林人民出版社	长春市	各地人民出版社	206	
黑龙江人民出版社	哈尔滨市	各地人民出版社	207	
上海人民出版社	上海市	各地人民出版社	208	
山东人民出版社	济南市	各地人民出版社	209	
江西人民出版社	南昌市	各地人民出版社	210	
福建人民出版社	福州市	各地人民出版社	211	
安徽人民出版社	合肥市	各地人民出版社	212	
浙江人民出版社	杭州市	各地人民出版社	213	
江苏人民出版社	南京市	各地人民出版社	214	
河南人民出版社	郑州市	各地人民出版社	215	
湖北人民出版社	武汉市	各地人民出版社	216	
湖南人民出版社	长沙市	各地人民出版社	217	
